lugar;nom_muni;direccion;X;Y;Categoria;Precio minimo
El carmen Estate;Concepcion de Ataco;KM. 97 CARRETERA AHUACHAPAN- SONSONATE, CONCEPCION DE ATACO, AHUACHAPAN,;-89,8464456;13,8632113;Hotel;94
Villa Ikal Ataco;Concepcion de Ataco;2da Avenida Sur Barrio El Calvario, Concepción de Ataco;-89,8519384;13,8663357;Hotel;35
Las Casitas Hostal Ataco;Concepcion de Ataco;Concepción de Ataco;-89,8522429;13,8664998;Hotel;30
Hotel El Balcón de Ataco;Concepcion de Ataco;"Barrio El Calvario,8° Calle Oriente,Calle ""El Naranjito"", Concepción de Ataco, Ahuachapán, Concepción de Ataco";-89,8530951;13,8667693;Hotel;47
Los Portones de Ataco y cafe La Estancia;Concepcion de Ataco;2 avenida sur # 3 barrio el calvario, Concepción de Ataco CP 2106;-89,8513752;13,8672647;Hotel;35
Hotel Raices;Concepcion de Ataco;Concepción de Ataco;-89,8523565;13,8673713;Hotel;47
Hostal Sorelle;Concepcion de Ataco;Concepción de Ataco;-89,850862;13,868601;Hotel;30
La Posada de Don Oli;Concepcion de Ataco;1ra Av. Sur #6 Barrio Santa Lucía, Concepción de Ataco;-89,852457;13,868798;Hotel;30
Turix Kantún;Concepcion de Ataco;3 Av. Sur y 4 calle poniente # 9 Concepción de Ataco, Concepción de Ataco;-89,852952;13,869418;Hotel;48
Hostal Las Flores;Concepcion de Ataco;Concepción de Ataco;-89,852496;13,869667;Hotel;30
Hotel Villa Santo Domingo;Concepcion de Ataco;1a Avenida Norte Calle central 6 Barrio el centro, Concepción de Ataco;-89,851707;13,869902;Hotel;40
Casa Degraciela - Hotel Boutique;Concepcion de Ataco;Primera Calle Ote. y Segunda Av. Nte. No.2, Barrio El Centro, Concepción de Ataco;-89,850291;13,869850;Hotel;94
Hostal El Mesón de San Fernando;Concepcion de Ataco;Concepción de Ataco;-89,853024;13,870904;Hotel;47
El Buho Cafe y Hostal;Concepcion de Ataco;3a. Calle Pte., Concepción de Ataco;-89,852202;13,871641;Hotel;30
Hotel Misión de Angeles;Concepcion de Ataco;Concepción de Ataco;-89,848888;13,871989;Hotel;85
Hostal Las Flores Apaneca;Apaneca;Apaneca;-89,805409;13,856986;Hotel;50
Hostal iL Piemonte;Apaneca;Apaneca;-89,802849;13,858277;Hotel;40
Jardín Hostal;Apaneca;Apaneca;-89,804933;13,858485;Hotel;26
Hostal Solvang;Apaneca;Apaneca;-89,803326;13,859264;Hotel;30
Las Cabañas de Apaneca;Apaneca;CA-8, Apaneca;-89,805954;13,860041;Hotel;28
Hostal Villa Bonita;Apaneca;1 calle poniente y 3 avenida norte Apaneca Ahuachapan, Apanhecat;-89,805247;13,860201;Hotel;35
Jardines celestes;Apaneca;Apaneca;-89,802517;13,860561;Hotel;40
Cabaña Los Capuletos;Apaneca;Apaneca;-89,802056;13,862829;Hotel;30
Quinta Los Cipreses;Apaneca;Ruta de las Flores, Apaneca;-89,800339;13,864147;Hotel;35
Villas Suizas Apaneca 1;Apaneca;Ruta de las Flores, Apaneca;-89,798030;13,867029;Hotel;35
Vista Los Volcanes - Hotel y Restaurante;Juayúa;Juayúa;-89,749203;13,844439;Hotel;83
Hostal Casa Mazeta;Juayúa;2 Av Nte 22, Juayúa CP 2301;-89,744944;13,844504;Hotel;20
Hotel Juayua;Juayúa;6 Av Norte Final 6 Avenida Norte, Juayúa;-89,743597;13,846223;Hotel;59
Hotel-Posada El Encanto;Juayúa;RN-12W, Juayua;-89,743258;13,845631;Hotel;35
LOS VOLCANES;Salcoatitán;CA-8, Salcoatitán;-89,759852;13,831576;Hotel;30
Hotel California Nahuizalco;Nahuizalco;Avenida San Juan, Nahuizalco;-89,736934;13,780066;Hotel;30
Nahui Hotel;Nahuizalco;3 Avenida Sur, Nahuizalco;-89,738303;13,781720;Hotel;28
